pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
10303161_CARMICHAEL 14-A_50981273,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303161_CARMICHAEL 14-A_50981273.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
10303197_P RUZEK 6-A_1539474,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303197_P RUZEK 6-A_1539474.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,90,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
10303272_D.E. EVANS 15_1539444,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303272_D.E. EVANS 15_1539444.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,88,skipped,,,
10303309_F H MURRAY 24_1539434,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303309_F H MURRAY 24_1539434.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,87,skipped,,,
10303322_RENCE 6A_1539521,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303322_RENCE 6A_1539521.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
10502151_WOOD 1_1618378,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10502151_WOOD 1_1618378.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,done,,100,skipped,,,
10503283_COUCH 1 & 2 1_1675965,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10503283_COUCH 1 & 2 1_1675965.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
10503284_COUCH 1 2_1676033,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10503284_COUCH 1 2_1676033.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,94,skipped,,,
10503285_COUCH 2 3_1675653,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10503285_COUCH 2 3_1675653.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,98,skipped,,,
10506737_HART 1_1539510,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10506737_HART 1_1539510.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
10702216_FRANK L GREGORY 1_589598,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10702216_FRANK L GREGORY 1_589598.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,86,skipped,,,
10702357_W M BELL 9_1054695,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10702357_W M BELL 9_1054695.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,87,skipped,,,
10702683_WASHINGTON 1_1054485,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10702683_WASHINGTON 1_1054485.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,96,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
10702864_C W WILSON 4_1054544,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10702864_C W WILSON 4_1054544.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,93,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
10702886_WASHINGTON 1_1227549,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10702886_WASHINGTON 1_1227549.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
10704075_THOMPSON 1_1054565,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10704075_THOMPSON 1_1054565.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
