pdf_stem,pdf_path,page,grid_w,grid_h,method,correct,note,grid_png
35111761570000_MELVIN COLLINS 1_1982560,D:\ExportedFolderContents (1)\1911\12 - December\35111761570000_MELVIN COLLINS 1_1982560.pdf,,303,304,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35111761570000_MELVIN COLLINS 1_1982560_grid.png
35117037510000_STOCKTON 5_1982508,D:\ExportedFolderContents (1)\1911\05 - May\35117037510000_STOCKTON 5_1982508.pdf,,308,312,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35117037510000_STOCKTON 5_1982508_grid.png
X_SALES 13_2455922,D:\ExportedFolderContents (1)\1911\11 - November\X_SALES 13_2455922.pdf,,327,330,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_SALES 13_2455922_grid.png
11703700_D B LAYTON 6_1030558,D:\ExportedFolderContents (1)\1911\03 - March\11703700_D B LAYTON 6_1030558.pdf,,300,302,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11703700_D B LAYTON 6_1030558_grid.png
X_LEVI T ROGERS 11_2455819,D:\ExportedFolderContents (1)\1911\03 - March\X_LEVI T ROGERS 11_2455819.pdf,,314,315,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_LEVI T ROGERS 11_2455819_grid.png
35105047670000_W R DAWSON_2455864,D:\ExportedFolderContents (1)\1911\05 - May\35105047670000_W R DAWSON_2455864.pdf,,292,292,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35105047670000_W R DAWSON_2455864_grid.png
X_A TUCKER 1_2271018,D:\ExportedFolderContents (1)\1911\12 - December\X_A TUCKER 1_2271018.pdf,,296,295,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_A TUCKER 1_2271018_grid.png
14705702_HENRY HOUSEBUG 2_1401371,D:\ExportedFolderContents (1)\1911\12 - December\14705702_HENRY HOUSEBUG 2_1401371.pdf,,302,299,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14705702_HENRY HOUSEBUG 2_1401371_grid.png
03713375_ADA AUBREY 11_1030597,D:\ExportedFolderContents (1)\1911\06 - June\03713375_ADA AUBREY 11_1030597.pdf,,326,329,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03713375_ADA AUBREY 11_1030597_grid.png
35147763480000_ABE KETCHUM 3_1380750,D:\ExportedFolderContents (1)\1911\05 - May\35147763480000_ABE KETCHUM 3_1380750.pdf,,319,325,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763480000_ABE KETCHUM 3_1380750_grid.png
14700922_ETTIE WHITETURKEY 2_512180,D:\ExportedFolderContents (1)\1911\04 - April\14700922_ETTIE WHITETURKEY 2_512180.pdf,,315,318,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700922_ETTIE WHITETURKEY 2_512180_grid.png
35111761560000_G A MURPHY 1_3140508,D:\ExportedFolderContents (1)\1911\01 - January\35111761560000_G A MURPHY 1_3140508.pdf,,294,293,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35111761560000_G A MURPHY 1_3140508_grid.png
14700959_GEORGE WHITETURKEY 3_512208,D:\ExportedFolderContents (1)\1911\07 - July\14700959_GEORGE WHITETURKEY 3_512208.pdf,,299,300,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700959_GEORGE WHITETURKEY 3_512208_grid.png
35147763650000_R M WOLFE 9_1380785,D:\ExportedFolderContents (1)\1911\08 - August\35147763650000_R M WOLFE 9_1380785.pdf,,304,294,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763650000_R M WOLFE 9_1380785_grid.png
X_GEORGE COCHRAN 17_2455793,D:\ExportedFolderContents (1)\1911\02 - February\X_GEORGE COCHRAN 17_2455793.pdf,,309,315,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_GEORGE COCHRAN 17_2455793_grid.png
01911047_LEDBETTER AND TERRELL 62_911299,D:\ExportedFolderContents (1)\1911\06 - June\01911047_LEDBETTER AND TERRELL 62_911299.pdf,,322,317,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\01911047_LEDBETTER AND TERRELL 62_911299_grid.png
X_RIVERBED 1_1982460,D:\ExportedFolderContents (1)\1911\01 - January\X_RIVERBED 1_1982460.pdf,,310,304,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_RIVERBED 1_1982460_grid.png
x_MILLIE HAWKINS FARM (MULTIPLE WELLS)_512225,D:\ExportedFolderContents (1)\1911\08 - August\x_MILLIE HAWKINS FARM (MULTIPLE WELLS)_512225.pdf,,310,304,otsu,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_MILLIE HAWKINS FARM (MULTIPLE WELLS)_512225_grid.png
X_BETSY SAM_2455856,D:\ExportedFolderContents (1)\1911\04 - April\X_BETSY SAM_2455856.pdf,,293,293,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_BETSY SAM_2455856_grid.png
11702204_SCHOOL LAND 1_1030644,D:\ExportedFolderContents (1)\1911\10 - October\11702204_SCHOOL LAND 1_1030644.pdf,,323,304,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702204_SCHOOL LAND 1_1030644_grid.png
X_J BOWLES_2455867,D:\ExportedFolderContents (1)\1911\05 - May\X_J BOWLES_2455867.pdf,,299,306,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_J BOWLES_2455867_grid.png
35037107680000_BENNIE GILCREASE_1982542,D:\ExportedFolderContents (1)\1911\09 - September\35037107680000_BENNIE GILCREASE_1982542.pdf,,344,340,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35037107680000_BENNIE GILCREASE_1982542_grid.png
35143764150000_B ELLICK 1_2270894,D:\ExportedFolderContents (1)\1911\03 - March\35143764150000_B ELLICK 1_2270894.pdf,,300,301,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35143764150000_B ELLICK 1_2270894_grid.png
X_GEO WEST_2455772,D:\ExportedFolderContents (1)\1911\01 - January\X_GEO WEST_2455772.pdf,,302,300,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_GEO WEST_2455772_grid.png
35147029660000_OSCAR HENRY 1_2270873,D:\ExportedFolderContents (1)\1911\01 - January\35147029660000_OSCAR HENRY 1_2270873.pdf,,319,312,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147029660000_OSCAR HENRY 1_2270873_grid.png
